HANSATECH INSTRUMENTS - O2view Recording
Software Version: 2.09
File Version: 1.05G

RECORDING DESCRIPTION
Date: 11/07/19
Start Time: 16:24
Sample Time(sec),1.000000
Live Rate Over(sec) ,30

GAIN & BACKOFF SETTINGS
Channel No,1,2,4,
Gain,1.00,1.00,1.00,
Back Off,0,0,0,

CALIBRATION DATA
Calibration Type,Liquid
Channel No,1,2,4,
Calibration Offset,43.740002,88.290001,63.990002,
Calibration Factor, 0.174378,0.169399,0.162183,


TEMPERATURE DATA
Channel No,1,2,4,
Set Temperature, 40.00,40.00,40.00,


QY NormFactor, 1.000000
QY Liquid Label, umol/ml/min


RECORDED DATA
TIME,OXYGEN,RATE,, , , , EVENT MARKERS,,,,
Time,Oxygen 1,Rate 1,Oxygen 2,Rate 2,Oxygen 4,Rate 4,Label,Trace,Type,Comment
0.0,227.829539,INVALID,159.578630,INVALID,234.755529,INVALID,Start,All,Restart,Started at:16:24:33,
1.0,228.253277,INVALID,159.578630,INVALID,235.543740,INVALID,,,,,
2.0,227.264556,INVALID,159.578630,INVALID,236.069214,INVALID,,,,,
3.0,226.699573,INVALID,159.578630,INVALID,235.149634,INVALID,,,,,
4.0,227.829539,INVALID,159.578630,INVALID,234.755529,INVALID,,,,,
5.0,229.100752,INVALID,159.441417,INVALID,235.806477,INVALID,,,,,
6.0,229.383244,INVALID,159.441417,INVALID,235.412372,INVALID,,,,,
7.0,229.241998,INVALID,159.578630,INVALID,234.492792,INVALID,,,,,
8.0,229.383244,INVALID,159.441417,INVALID,235.018266,INVALID,,,,,
9.0,229.948227,INVALID,159.578630,INVALID,235.806477,INVALID,,,,,
10.0,229.806981,INVALID,159.441417,INVALID,234.886897,INVALID,,,,,
11.0,229.383244,INVALID,159.578630,INVALID,234.361423,INVALID,,,,,
12.0,229.665735,INVALID,159.441417,INVALID,235.018266,INVALID,,,,,
13.0,230.230719,INVALID,159.578630,INVALID,235.412372,INVALID,,,,,
14.0,229.948227,INVALID,159.578630,INVALID,234.361423,INVALID,,,,,
15.0,229.383244,INVALID,159.441417,INVALID,234.492792,INVALID,,,,,
16.0,229.383244,INVALID,159.578630,INVALID,235.412372,INVALID,,,,,
17.0,229.806981,INVALID,159.578630,INVALID,234.755529,INVALID,,,,,
18.0,229.665735,INVALID,159.578630,INVALID,233.967318,INVALID,,,,,
19.0,228.818260,INVALID,159.578630,INVALID,234.492792,INVALID,,,,,
20.0,228.394523,INVALID,159.441417,INVALID,235.281003,INVALID,,,,,
21.0,229.100752,INVALID,159.578630,INVALID,234.230055,INVALID,,,,,
22.0,228.394523,INVALID,159.578630,INVALID,233.967318,INVALID,,,,,
23.0,228.112031,INVALID,159.578630,INVALID,233.704581,INVALID,,,,,
24.0,228.818260,INVALID,159.441417,INVALID,234.755529,INVALID,,,,,
25.0,228.818260,INVALID,159.578630,INVALID,234.361423,INVALID,,,,,
26.0,228.253277,INVALID,159.578630,INVALID,233.441844,INVALID,,,,,
27.0,227.829539,INVALID,159.578630,INVALID,233.967318,INVALID,,,,,
28.0,227.970785,INVALID,159.578630,INVALID,234.755529,INVALID,,,,,
29.0,228.535769,INVALID,159.441417,INVALID,234.098686,INVALID,,,,,
30.0,228.112031,-0.099100,159.441417,-0.029877,233.310475,-3.194162,,,,,
31.0,227.688294,-0.891899,159.441417,-0.046475,233.967318,-3.442067,,,,,
32.0,228.112031,-1.363478,159.441417,-0.059754,234.624160,-3.127418,,,,,
33.0,228.394523,-2.111853,159.441417,-0.069713,233.704581,-2.920831,,,,,
34.0,228.253277,-3.157528,159.441417,-0.076352,233.310475,-3.156023,,,,,
35.0,227.405802,-4.110937,159.578630,-0.029877,234.361423,-3.117883,,,,,
36.0,227.264556,-4.613271,159.441417,-0.086311,234.361423,-2.663391,,,,,
37.0,227.829539,-4.756795,159.441417,-0.142746,233.310475,-2.707886,,,,,
38.0,227.829539,-4.917406,159.441417,-0.146065,233.310475,-3.057496,,,,,
39.0,227.264556,-5.194202,159.441417,-0.199180,234.492792,-2.746026,,,,,
40.0,227.123310,-5.252295,159.578630,-0.149385,234.098686,-2.259750,,,,,
41.0,227.688294,-5.091685,159.441417,-0.202500,233.179107,-2.421842,,,,,
42.0,227.547048,-5.095102,159.441417,-0.202500,233.573212,-2.603003,,,,,
43.0,225.993343,-5.508588,159.441417,-0.252295,234.492792,-2.177115,,,,,
44.0,225.710852,-5.717039,159.578630,-0.199180,233.441844,-1.967349,,,,,
45.0,226.275835,-5.720457,159.578630,-0.146065,233.179107,-2.212076,,,,,
46.0,226.840818,-5.648695,159.578630,-0.146065,234.098686,-2.043628,,,,,
47.0,226.558327,-5.617939,159.441417,-0.146065,234.230055,-1.462004,,,,,
48.0,226.275835,-5.457329,159.441417,-0.142746,233.179107,-1.487431,,,,,
49.0,227.123310,-4.958412,159.441417,-0.136106,233.179107,-1.779831,,,,,
50.0,227.405802,-4.623523,159.441417,-0.126147,234.361423,-1.420687,,,,,
51.0,226.558327,-4.726040,159.578630,-0.116188,233.967318,-0.896272,,,,,
52.0,226.699573,-4.459496,159.578630,-0.056434,233.179107,-1.032938,,,,,
53.0,227.264556,-4.203203,159.441417,-0.046475,233.441844,-1.150534,,,,,
54.0,227.405802,-3.977665,159.441417,-0.033197,233.704581,-1.261773,,,,,
55.0,227.264556,-3.512921,159.441417,-0.069713,233.441844,-1.061542,,,,,
56.0,226.699573,-3.215621,159.441417,-0.053115,233.179107,-1.077434,,,,,
57.0,227.123310,-2.931990,159.441417,-0.033197,234.098686,-1.086968,,,,,
58.0,227.547048,-2.631273,159.578630,0.039836,233.967318,-0.956659,,,,,
59.0,227.123310,-2.422822,159.441417,0.063074,232.390896,-1.093325,,,,,
60.0,226.982064,-2.026422,159.441417,0.036516,233.047738,-1.188673,,,,,
61.0,227.123310,-1.705202,159.578630,0.059754,233.704581,-1.325339,,,,,
62.0,227.405802,-1.421571,159.578630,0.079672,233.704581,-1.217278,,,,,
63.0,226.982064,-1.120854,159.578630,0.096270,233.047738,-1.086968,,,,,
64.0,226.558327,-0.837223,159.441417,0.059754,233.704581,-1.036116,,,,,
65.0,226.699573,-0.512586,159.578630,0.073033,234.755529,-0.756428,,,,,
66.0,226.840818,-0.427155,159.578630,0.136106,233.573212,-0.533949,,,,,
67.0,227.123310,-0.280214,159.578630,0.146065,233.704581,-0.244727,,,,,
68.0,226.558327,-0.116186,159.441417,0.102910,234.624160,-0.012713,,,,,
69.0,226.699573,0.129855,159.578630,0.109549,235.149634,0.378214,,,,,
70.0,227.405802,0.440824,159.578630,0.112869,234.361423,0.896272,,,,,
71.0,226.417081,0.334889,159.578630,0.165983,234.098686,1.169604,,,,,
72.0,225.852098,0.259710,159.578630,0.165983,235.412372,1.563709,,,,,
73.0,225.428360,0.020503,159.441417,0.112869,234.492792,1.722623,,,,,
74.0,225.852098,-0.615103,159.578630,0.109549,234.492792,2.215254,,,,,
75.0,225.993343,-1.305385,159.715843,0.205819,235.675109,2.730134,,,,,
76.0,225.287114,-2.040091,159.578630,0.248975,235.281003,2.946257,,,,,
77.0,224.863377,-2.685949,159.578630,0.292131,234.361423,3.133775,,,,,
78.0,225.428360,-3.188283,159.578630,0.282172,234.755529,3.508811,,,,,
79.0,225.428360,-3.772631,159.578630,0.268893,234.361423,3.321293,,,,,
80.0,224.863377,-4.213455,159.578630,0.252295,233.573212,2.819126,,,,,
81.0,224.722131,-4.541509,159.578630,0.232377,233.441844,2.717421,,,,,
82.0,225.145868,-4.978916,159.441417,0.212459,233.573212,2.533082,,,,,
83.0,225.145868,-5.327474,159.441417,0.195860,231.734053,1.385726,,,,,
84.0,224.580885,-5.624774,159.578630,0.179262,230.683105,-0.006357,,,,,
85.0,224.157148,-5.956246,159.441417,0.109549,231.734053,-0.848598,,,,,
86.0,224.722131,-6.058763,159.578630,0.089631,231.602685,-1.792545,,,,,
87.0,224.863377,-6.267215,159.578630,0.066393,231.077211,-2.984396,,,,,
88.0,224.298393,-6.472249,159.578630,0.039836,231.077211,-3.769429,mito,1,Up Arrow,,
89.0,224.015902,-6.547428,159.441417,0.013279,232.259527,-4.103147,,,,,
90.0,224.722131,-6.444911,159.578630,-0.013279,232.390896,-4.958102,,,,,
91.0,225.004623,-6.236459,159.578630,-0.043156,230.945842,-6.083210,,,,,
92.0,224.157148,-6.233042,159.578630,-0.023238,231.471316,-6.712507,,,,,
93.0,224.157148,-6.048511,159.578630,-0.003320,232.128159,-7.049404,,,,,
94.0,224.722131,-5.744377,159.578630,0.016598,231.734053,-7.745445,,,,,
95.0,224.439639,-5.652112,159.578630,-0.016598,230.814474,-8.489160,,,,,
96.0,223.874656,-5.658946,159.578630,-0.000000,231.077211,-8.660787,,,,,
97.0,224.015902,-5.491502,159.578630,0.016598,232.128159,-8.819700,,,,,
98.0,224.580885,-4.941326,159.578630,0.033197,231.602685,-9.083497,,,,,
99.0,224.157148,-4.702120,159.578630,-0.003320,230.814474,-9.226519,,,,,
100.0,223.733410,-4.503920,159.578630,0.009959,231.471316,-8.835592,,,,,
101.0,224.157148,-3.806803,159.715843,0.073033,232.259527,-8.374743,,,,,
102.0,224.580885,-3.260045,159.578630,0.082992,231.339948,-8.298464,,,,,
103.0,224.722131,-2.836308,159.578630,0.092951,231.602685,-7.551571,,,,,
104.0,224.157148,-2.754294,159.578630,0.049795,232.653633,-6.687081,,,,,
105.0,224.015902,-2.528756,159.578630,0.056434,231.996790,-6.016466,,,,,
106.0,224.722131,-1.947826,159.578630,0.116188,230.551737,-5.352207,,,,,
107.0,224.863377,-1.558261,159.578630,0.126147,230.551737,-4.716553,,,,,
108.0,224.298393,-1.527505,159.715843,0.185901,230.157631,-4.465470,,,,,
109.0,224.157148,-1.315637,159.715843,0.242336,229.632157,-4.150821,,,,,
110.0,224.863377,-0.816720,159.578630,0.245655,230.551737,-3.531058,,,,,
111.0,224.863377,-0.522837,159.578630,0.248975,231.471316,-2.790521,,,,,
112.0,224.157148,-0.539924,159.578630,0.252295,229.238051,-2.860443,,,,,
113.0,224.015902,-0.430572,159.578630,0.202500,229.106683,-2.825482,,,,,
114.0,224.580885,-0.088848,159.578630,0.149385,230.814474,-2.774630,,,,,
115.0,225.004623,0.201617,159.578630,0.146065,230.945842,-3.060674,,,,,
116.0,224.580885,0.164027,159.578630,0.089631,230.026263,-3.279975,,,,,
117.0,224.298393,0.232372,159.578630,0.082992,230.289000,-3.413462,,,,,
118.0,224.722131,0.519420,159.578630,0.076352,230.289000,-3.718576,,,,,
119.0,225.145868,0.744958,159.715843,0.119508,228.581209,-4.624383,,,,,
120.0,224.580885,0.635606,159.578630,0.056434,226.610681,-5.727243,,,,,
121.0,224.157148,0.632189,159.578630,0.043156,225.953839,-6.880955,,,,,
122.0,224.722131,0.956827,159.441417,-0.019918,226.479313,-8.247612,,,,,
123.0,225.145868,1.114020,159.578630,-0.029877,225.953839,-9.493494,,,,,
124.0,224.863377,1.144775,159.578630,-0.039836,227.530261,-9.779538,,,,,
125.0,224.298393,1.172113,159.578630,-0.049795,228.187103,-9.868530,,,,,
126.0,224.439639,1.151609,159.578630,-0.059754,226.742050,-10.752089,,,,,
127.0,224.439639,0.912403,159.578630,-0.069713,226.610681,-11.483091,,,,,
128.0,224.722131,0.816720,159.441417,-0.129467,226.216576,-11.842236,,,,,
129.0,224.298393,0.768879,159.578630,-0.136106,225.822470,-12.404789,,,,,
130.0,224.298393,0.563844,159.715843,-0.092951,225.428365,-13.275636,,,,,
131.0,224.298393,0.191365,159.578630,-0.102910,224.771522,-14.000281,,,,,
132.0,225.004623,0.225538,159.578630,-0.059754,226.085207,-13.780981,,,,,
133.0,225.004623,0.403234,159.578630,-0.066393,225.822470,-13.863616,,,,,
134.0,224.580885,0.471579,159.441417,-0.122828,226.610681,-13.425014,,,,,
135.0,225.145868,0.529672,159.578630,-0.126147,226.479313,-12.506494,,,,,
136.0,225.428360,0.611686,159.715843,-0.079672,226.742050,-11.597509,,,,,
137.0,225.004623,0.779130,159.578630,-0.086311,226.085207,-11.359139,,,,,
138.0,224.722131,0.891899,159.578630,-0.092951,226.085207,-11.012707,,,,,
139.0,224.863377,0.840641,159.578630,-0.046475,227.792998,-10.091009,,,,,
140.0,225.710852,1.028589,159.578630,0.003320,227.661629,-9.363185,,,,,
141.0,225.145868,1.247292,159.578630,0.003320,226.216576,-8.756135,,,,,
142.0,225.004623,1.407902,159.578630,0.003320,225.559733,-7.926606,,,,,
143.0,225.428360,1.445492,159.578630,0.003320,227.267524,-7.198783,,,,,
144.0,225.993343,1.602685,159.441417,-0.046475,225.034259,-7.284596,,,,,
145.0,226.134589,1.981998,159.578630,-0.043156,225.296996,-6.515454,,,,,
146.0,225.569606,2.282715,159.578630,-0.039836,225.822470,-5.371277,,,,,
147.0,225.287114,2.303218,159.578630,-0.036516,224.902891,-4.792832,,,,,
148.0,225.993343,2.453577,159.578630,-0.033197,223.326468,-4.560818,,,,,
149.0,225.993343,2.726956,159.578630,-0.029877,224.771522,-3.635941,,,,,
150.0,225.428360,2.928573,159.578630,0.026557,226.742050,-2.523547,,,,,
151.0,225.569606,2.955911,159.578630,0.033197,227.004787,-2.034093,,,,,
152.0,225.852098,2.897818,159.578630,0.039836,227.398892,-1.665414,,,,,
153.0,226.134589,3.119938,159.715843,0.043156,228.449840,-0.746894,,,,,
154.0,225.428360,3.215621,159.578630,0.043156,228.187103,-0.174805,,,,,
155.0,225.428360,3.195118,159.578630,0.043156,228.449840,1.048829,,,,,
156.0,225.993343,3.147276,159.578630,0.043156,229.500789,2.885870,,,,,
157.0,226.134589,3.164362,159.578630,0.043156,230.157631,4.370122,,,,,
158.0,225.428360,2.884149,159.578630,0.043156,229.763526,5.577865,,,,,
159.0,225.428360,2.689366,159.715843,0.039836,229.238051,6.366076,,,,,
160.0,225.993343,2.518504,159.578630,0.033197,230.157631,7.262348,,,,,
161.0,226.134589,2.357894,159.578630,0.079672,229.106683,7.519788,,,,,
162.0,225.569606,1.947826,159.715843,0.126147,226.479313,6.480493,,,,,
163.0,225.004623,1.575347,159.578630,0.119508,225.296996,5.479338,,,,,
164.0,225.710852,1.459161,159.578630,0.112869,226.347944,4.776940,,,,,
165.0,226.134589,1.315637,159.578630,0.053115,227.530261,4.796010,,,,,
166.0,225.569606,1.148192,159.578630,0.043156,228.712577,5.171046,,,,,
167.0,225.710852,1.131106,159.578630,0.086311,229.894894,6.022822,,,,,
168.0,226.275835,1.148192,159.578630,0.079672,231.602685,7.163822,,,,,
169.0,225.852098,0.871396,159.578630,0.073033,230.945842,7.932963,,,,,
170.0,225.428360,0.468162,159.715843,0.116188,229.632157,8.768848,,,,,
171.0,225.852098,0.533089,159.578630,0.106229,230.683105,9.890778,,,,,
172.0,226.134589,0.478413,159.578630,0.096270,231.339948,10.618602,,,,,
173.0,226.134589,0.345141,159.578630,0.086311,230.157631,10.539145,,,,,
174.0,225.569606,0.143524,159.578630,0.076352,229.763526,10.866507,,,,,
175.0,225.569606,0.157193,159.715843,0.063074,230.814474,10.650384,,,,,
176.0,226.134589,0.440824,159.578630,0.046475,229.500789,9.919382,,,,,
177.0,225.852098,0.403234,159.578630,0.029877,228.055735,8.765670,,,,,
178.0,225.428360,0.095683,159.578630,0.013279,227.792998,7.106613,,,,,
179.0,225.569606,0.109352,159.578630,-0.003320,229.106683,5.244146,,,,,
180.0,225.993343,0.287048,159.578630,-0.019918,229.500789,3.944234,,,,,
181.0,226.134589,0.297300,159.578630,-0.036516,231.471316,4.007799,,,,,
182.0,225.569606,0.140107,159.578630,-0.053115,232.522264,4.440044,,,,,
183.0,225.287114,-0.010252,159.578630,-0.069713,230.945842,4.319270,,,,,
184.0,225.993343,0.218703,159.578630,-0.033197,230.814474,4.471826,,,,,
185.0,226.134589,0.228955,159.578630,-0.046475,232.128159,4.942211,,,,,
186.0,225.428360,-0.034172,159.441417,-0.109549,232.785001,5.657321,,,,,
187.0,225.287114,-0.129855,159.578630,-0.119508,231.865422,6.340650,,,,,
188.0,225.993343,0.102517,159.578630,-0.129467,231.996790,7.268704,,,,,
189.0,226.134589,0.116186,159.578630,-0.139426,232.785001,8.285751,,,,,
190.0,225.428360,-0.143524,159.715843,-0.046475,232.785001,9.026288,,,,,
191.0,225.287114,-0.235789,159.715843,-0.006639,231.471316,9.560237,,,,,
192.0,225.569606,-0.153776,159.715843,0.029877,233.047738,10.227674,,,,,
193.0,225.993343,-0.123021,159.578630,0.066393,232.653633,9.639694,,,,,
194.0,225.569606,-0.474996,159.578630,0.053115,231.865422,8.158620,,,,,
195.0,225.145868,-0.721037,159.578630,0.039836,232.390896,7.116147,,,,,
196.0,225.287114,-0.738123,159.441417,-0.023238,231.865422,6.194449,,,,,
197.0,225.852098,-0.748375,159.578630,-0.033197,231.339948,5.434842,,,,,
198.0,225.710852,-0.762044,159.578630,-0.043156,231.208579,5.021667,,,,,
199.0,225.569606,-0.608268,159.715843,-0.003320,232.522264,5.714530,,,,,
200.0,225.428360,-0.652692,159.578630,-0.016598,233.047738,6.321580,,,,,
201.0,226.275835,-0.543341,159.715843,0.073033,232.390896,6.130884,,,,,
202.0,226.134589,-0.341724,159.578630,0.059754,232.522264,6.327936,,,,,
203.0,225.710852,-0.191365,159.578630,0.046475,233.835949,7.211496,,,,,
204.0,225.852098,0.020503,159.578630,0.033197,232.785001,7.195604,pm,1,Up Arrow,,
205.0,226.417081,0.225538,159.441417,-0.029877,231.471316,6.486850,,,,,
206.0,226.558327,0.461327,159.578630,0.013279,233.179107,6.763359,,,,,
207.0,225.852098,0.635606,159.715843,0.056434,232.785001,6.331115,,,,,
208.0,225.852098,0.707368,159.715843,0.096270,232.128159,5.021667,,,,,
209.0,226.417081,0.820137,159.578630,0.082992,231.471316,3.273619,,,,,
210.0,226.558327,1.014920,159.578630,0.069713,233.179107,2.564864,,,,,
211.0,225.993343,1.144775,159.578630,0.056434,232.259527,1.576422,,,,,
212.0,225.993343,1.329306,159.715843,0.092951,231.865422,1.140999,,,,,
213.0,226.275835,1.401068,159.715843,0.126147,232.259527,1.245882,,,,,
214.0,226.558327,1.448909,159.578630,0.106229,233.179107,1.080612,,,,,
215.0,225.993343,1.534340,159.578630,0.086311,232.259527,0.476741,,,,,
216.0,225.710852,1.571930,159.578630,0.066393,231.865422,0.203409,,,,,
217.0,226.134589,1.500168,159.578630,-0.006639,232.653633,0.476741,,,,,
218.0,226.275835,1.407902,159.578630,-0.029877,232.259527,0.254262,,,,,
